REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47200,A,,,0
2011,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,49200,A,,,0
2012,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,50500,A,,,0
2013,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,51100,A,,,0
2014,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,51100,A,,,0
2015,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,50600,A,,,0
2016,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,48200,A,,,0
2017,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,49700,A,,,0
2018,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,48600,A,,,0
2019,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,49100,A,,,0
2020,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,48800,A,,,0
2021,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47300,A,,,0
2022,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47000,A,,,0
2023,Alberta,2021A000248,15 years and over,Both sexes,Total income,Median income (excluding zeros),2023 constant dollars,449,units,0,v107680658,12.1.1.1.5,47700,A,,,0
2000,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3172,A,,,0
2001,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3223,A,,,0
2002,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3260,A,,,0
2003,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3301,A,,,0
2004,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3359,A,,,0
2005,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3432,A,,,0
2006,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3418,A,,,0
2007,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3480,A,,,0
2008,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3530,A,,,0
2009,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3590,A,,,0
2010,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3639,A,,,0
2011,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3665,A,,,0
2012,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3756,A,,,0
2013,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3826,A,,,0
